No,Year,ODV,ONC,ODD,Order,ID,YID,Species_vi,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
833,2020,17,3,24,34,17_3_24_34,2020_17_3_24_34,Sau sau,Sau sau,Liquidambar formosana Hance,23.7,7.5,0,0,0,0,0,0,a,103.8011179,22.32170873,Cung goc,Same stump,6.810714276,12.57179546,0,12.57179546
834,2020,17,3,24,35,17_3_24_35,2020_17_3_24_35,Sau sau,Sau sau,Liquidambar formosana Hance,32.5,10.4,0,0,0,0,0,0,a,103.8011198,22.32170874,Cung goc,Same stump,8.112938852,27.940012,0,27.940012
835,2020,17,3,24,33,17_3_24_33,2020_17_3_24_33,Sau sau,Sau sau,Liquidambar formosana Hance,51.5,16.4,0,0,0,0,0,0,a,103.8011155,22.32170871,Cung goc,Same stump,10.35259666,85.00917833,0,85.00917833
836,2020,17,3,24,37,17_3_24_37,2020_17_3_24_37,Đa quả xanh,Da qua xanh,Ficus vasculosa Wall. ex Miq,47.5,15.1,0,0,0,0,0,0,a,103.8010982,22.32169612,0,0,9.904961727,69.47765107,0,69.47765107
837,2020,17,3,24,38,17_3_24_38,2020_17_3_24_38,Mạ sưa,Ma sua,Helicia nilagirica Bedd,44.5,14.2,0,0,0,0,0,0,a,103.8011084,22.32169267,Cung goc,Same stump,9.584482511,59.7924664,0,59.7924664
838,2020,17,3,24,39,17_3_24_39,2020_17_3_24_39,Mạ sưa,Ma sua,Helicia nilagirica Bedd,30,9.6,0,0,0,0,0,0,a,103.8011105,22.32169269,Cung goc,Same stump,7.772719809,22.97760948,0,22.97760948
839,2020,17,3,24,40,17_3_24_40,2020_17_3_24_40,Mạ sưa,Ma sua,Helicia nilagirica Bedd,34.8,11.1,0,0,0,0,0,0,a,103.8011127,22.3216927,Cung goc,Same stump,8.400772688,32.75944111,0,32.75944111
840,2020,17,3,24,41,17_3_24_41,2020_17_3_24_41,Mạ sưa,Ma sua,Helicia nilagirica Bedd,44.5,14.2,0,0,0,0,0,0,a,103.8011154,22.32169272,Cung goc,Same stump,9.584482511,59.7924664,0,59.7924664
841,2020,17,3,24,42,17_3_24_42,2020_17_3_24_42,Kháo vòng,Khao vong,Macchilus sp,47.2,15,0,0,0,0,0,0,a,103.8010567,22.32180402,Cung goc,Same stump,9.869799698,68.35897839,0,68.35897839
842,2020,17,3,24,43,17_3_24_43,2020_17_3_24_43,Kháo vòng,Khao vong,Macchilus sp,62.1,19.8,0,0,0,0,0,0,a,103.8010588,22.32180404,Cung goc,Same stump,11.45094369,134.694685,0,134.694685
843,2020,17,3,24,44,17_3_24_44,2020_17_3_24_44,Sòi tía,Soi tia,Sapium discolor (Champ. ex Benth.) Muell.-Arg,45.5,14.5,0,0,0,0,0,0,a,103.8010657,22.32182676,0,0,9.692330964,62.92562368,0,62.92562368
844,2020,17,3,24,45,17_3_24_45,2020_17_3_24_45,Sung quả lê,Sung qua le,Ficus pyriformis Hook,31.2,9.9,0,0,0,0,0,0,a,103.8010747,22.3218299,Cung goc,Same stump,7.901792139,24.7714941,0,24.7714941
845,2020,17,3,24,46,17_3_24_46,2020_17_3_24_46,Sung quả lê,Sung qua le,Ficus pyriformis Hook,26,8.3,0,0,0,0,0,0,a,103.8010766,22.32182992,Cung goc,Same stump,7.190367949,16.10377836,0,16.10377836
846,2020,17,3,24,47,17_3_24_47,2020_17_3_24_47,Lòng trứng,Long trung,Lindera glauca (Sieb et Zucc) Blunne,35,11.1,0,0,0,0,0,0,a,103.8010647,22.32179523,0,0,8.400772688,32.75944111,0,32.75944111
847,2020,17,3,24,54,17_3_24_54,2020_17_3_24_54,Lòng trứng,Long trung,Lindera glauca (Sieb et Zucc) Blunne,49.5,15.8,0,0,0,0,0,0,a,103.8010638,22.32172685,0,0,10.14812719,77.61086614,0,77.61086614
848,2020,17,3,24,57,17_3_24_57,2020_17_3_24_57,Kháo vòng,Khao vong,Macchilus sp,29,9.2,0,0,0,0,0,0,a,103.8010622,22.32169567,0,0,7.597669927,20.70861196,0,20.70861196
849,2020,17,3,24,58,17_3_24_58,2020_17_3_24_58,Sung quả lê,Sung qua le,Ficus pyriformis Hook,34,10.8,0,0,0,0,0,0,b,103.8010542,22.32167312,Nghieng nam,Lean south,8.278479817,30.63849256,0,30.63849256
850,2020,17,3,24,60,17_3_24_60,2020_17_3_24_60,Thẩu tấu,Thau tau,Aporosa dioica (Roxb.) Muell. Arg,25.7,8.2,0,0,0,0,0,0,a,103.801056,22.32180881,0,0,7.143871207,15.63390834,0,15.63390834
851,2020,17,3,24,63,17_3_24_63,2020_17_3_24_63,Chân chim,Chan chim,Schefflera octophylla (Lour.) Harms,28.2,9,0,0,0,0,0,0,a,103.801222,22.3217422,0,0,7.50881886,19.62602511,0,19.62602511
852,2020,17,3,24,64,17_3_24_64,2020_17_3_24_64,Lòng trứng,Long trung,Lindera glauca (Sieb et Zucc) Blunne,50.7,16.1,0,0,0,0,0,0,b,103.8012224,22.32170164,Cung goc,Same stump,10.25080466,81.26029467,0,81.26029467
853,2020,17,3,24,65,17_3_24_65,2020_17_3_24_65,Lòng trứng,Long trung,Lindera glauca (Sieb et Zucc) Blunne,35,11.1,0,0,0,0,0,0,a,103.8012243,22.32170166,Cung goc,Same stump,8.400772688,32.75944111,0,32.75944111
854,2020,17,3,24,66,17_3_24_66,2020_17_3_24_66,Thẩu tấu,Thau tau,Aporosa dioica (Roxb.) Muell. Arg,29.7,9.5,0,0,0,0,0,0,a,103.8012246,22.32171945,0,0,7.729280268,22.39727908,0,22.39727908
855,2020,17,3,24,67,17_3_24_67,2020_17_3_24_67,Thôi chanh,Thoi chanh,Euodia bodinieri,37.5,11.9,0,0,0,0,0,0,a,103.8012435,22.32171941,0,0,8.719579732,38.83039997,0,38.83039997
856,2020,17,3,24,68,17_3_24_68,2020_17_3_24_68,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,26.5,8.4,0,0,0,0,0,0,b,103.8012267,22.32176156,Cung goc,Same stump,7.236605038,16.58188846,0,16.58188846
857,2020,17,3,24,69,17_3_24_69,2020_17_3_24_69,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,33,10.5,0,0,0,0,0,0,a,103.8012287,22.32176158,Cung goc,Same stump,8.15459757,28.60087693,0,28.60087693
858,2020,17,3,24,70,17_3_24_70,2020_17_3_24_70,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,37,11.8,0,0,0,0,0,0,a,103.8012311,22.3217616,Cung goc,Same stump,8.680285626,38.03808114,0,38.03808114
859,2020,17,3,24,71,17_3_24_71,2020_17_3_24_71,Chân chim,Chan chim,Schefflera octophylla (Lour.) Harms,34.8,11.1,0,0,0,0,0,0,a,103.8012263,22.32179191,0,0,8.400772688,32.75944111,0,32.75944111
860,2020,17,3,25,1,17_3_25_1,2020_17_3_25_1,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,22.2,7.1,6,0,0,0,0,0,a,103.8014312,22.321676,"Cung goc, CN","Same stump, Broken on top",6.613829446,10.99634131,10.35888505,10.35888505
861,2020,17,3,25,2,17_3_25_2,2020_17_3_25_2,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,21.5,6.8,5,0,0,0,0,0,c,103.8014332,22.32167592,"Cung goc, CN","Same stump, Broken on top",6.462759841,9.895653082,8.455040351,8.455040351
862,2020,17,3,25,3,17_3_25_3,2020_17_3_25_3,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,31.4,10,7,0,0,0,0,0,b,103.8014361,22.32168028,Nghieng dong,Lean east,7.944411093,25.3872208,23.49183461,23.49183461
863,2020,17,3,25,7,17_3_25_7,2020_17_3_25_7,Vỏ mản,Vo man,Ficus glandulifera Wall,28.5,9.1,6.5,0,0,0,0,0,c,103.8014213,22.32172524,Nghieng dong,Lean east,7.553357849,20.1630271,18.38930186,18.38930186
