No,Year,ODV,ONC,ODD,Order,ID,YID,Species_vi,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
1,2020,11,2,1,1,11_2_1_1,2020_11_2_1_1,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,25.3,8.1,6,0,0,0,0,0,b,105.6701305,23.0499494,NA,NA,6.626233171,14.54688705,13.68787328,13.68787328
2,2020,11,2,1,2,11_2_1_2,2020_11_2_1_2,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,55.5,17.7,15,0,0,0,0,0,c,105.6701424,23.04996534,Cut ngon,Broken on top,11.75635494,107.9904563,125.3899534,125.3899534
3,2020,11,2,1,3,11_2_1_3,2020_11_2_1_3,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,76,24.2,15.5,0,0,0,0,0,a,105.6701398,23.04996517,NA,NA,14.16794771,234.6099087,247.8976595,247.8976595
4,2020,11,2,1,4,11_2_1_4,2020_11_2_1_4,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,58,18.5,16.5,0,0,0,0,0,a,105.6701403,23.04997221,NA,NA,12.08497929,120.5943789,145.9625708,145.9625708
5,2020,11,2,1,5,11_2_1_5,2020_11_2_1_5,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,34.7,11,7,0,0,0,0,0,b,105.6701344,23.04998208,NA,NA,8.479076124,32.32176462,28.73784415,28.73784415
6,2020,11,2,1,6,11_2_1_6,2020_11_2_1_6,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,56.5,18,17,0,0,0,0,0,a,105.6701506,23.0499709,NA,NA,11.88082123,112.6227131,140.2897217,140.2897217
7,2020,11,2,1,7,11_2_1_7,2020_11_2_1_7,Vối thuốc,Voi thuoc,Schima wallichii,96.2,30.6,16.5,0,0,0,0,0,a,105.6701833,23.04995207,NA,NA,16.1077361,416.8922814,423.0877054,423.0877054
8,2020,11,2,1,9,11_2_1_9,2020_11_2_1_9,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,76.2,24.3,15,0,0,0,0,0,a,105.6701539,23.04998715,NA,NA,14.20107708,237.0039878,245.0919373,245.0919373
9,2020,11,2,1,10,11_2_1_10,2020_11_2_1_10,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,83.5,26.6,14,0,0,0,0,0,a,105.6701434,23.04998683,NA,NA,14.93628406,295.9750671,284.4579724,284.4579724
10,2020,11,2,1,11,11_2_1_11,2020_11_2_1_11,Lá nến,La nen,Macaranga denticulata (Blume) Muell.Arg,34.5,11,6.5,0,0,0,0,0,c,105.6701638,23.05006163,Cut ngon,Broken on top,8.479076124,32.32176462,27.46134194,27.46134194
11,2020,11,2,1,13,11_2_1_13,2020_11_2_1_13,Vối thuốc,Voi thuoc,Schima wallichii,36,11.5,7.5,0,0,0,0,0,a,105.6701071,23.05004317,NA,NA,8.765045941,36.23712358,32.93450798,32.93450798
12,2020,11,2,1,14,11_2_1_14,2020_11_2_1_14,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,82,26.1,16,0,0,0,0,0,a,105.6701091,23.0500727,NA,NA,14.78064389,282.5124988,296.5818929,296.5818929
13,2020,11,2,1,15,11_2_1_15,2020_11_2_1_15,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,64,20.4,13.5,0,0,0,0,0,b,105.6701098,23.05010594,NA,NA,12.82606932,153.803203,158.7087378,158.7087378
14,2020,11,2,1,16,11_2_1_16,2020_11_2_1_16,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,80.5,25.6,14.5,0,0,0,0,0,a,105.670157,23.05011287,NA,NA,14.6227423,269.4091728,268.020447,268.020447
15,2020,11,2,1,17,11_2_1_17,2020_11_2_1_17,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,28.5,9.1,9,0,0,0,0,0,c,105.6701465,23.05009422,Cut ngon,Broken on top,7.307012661,19.75727164,22.44988628,22.44988628
16,2020,11,2,1,18,11_2_1_18,2020_11_2_1_18,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,64,20.4,13.5,0,0,0,0,0,a,105.6701455,23.05008926,NA,NA,12.82606932,153.803203,158.7087378,158.7087378
17,2020,11,2,1,20,11_2_1_20,2020_11_2_1_20,Vối thuốc,Voi thuoc,Schima wallichii,47.4,15.1,10,0,0,0,0,0,a,105.6701952,23.0500316,NA,NA,10.60884066,72.46441328,69.88561228,69.88561228
18,2020,11,2,1,21,11_2_1_21,2020_11_2_1_21,Cánh kiến,Canh kien,Mallotus philippinensis Muell-Arg,24.3,7.7,7.5,0,0,0,0,0,b,105.6701923,23.0499981,NA,NA,6.339366733,12.71956441,14.10061233,14.10061233
19,2020,11,2,1,22,11_2_1_22,2020_11_2_1_22,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,24.3,7.7,8,0,0,0,0,0,b,105.6701708,23.0499822,NA,NA,6.339366733,12.71956441,14.66973886,14.66973886
20,2020,11,2,1,23,11_2_1_23,2020_11_2_1_23,Vối thuốc,Voi thuoc,Schima wallichii,26.4,8.4,5.5,0,0,0,0,0,c,105.6702133,23.04997678,Chung goc,Same stump,6.835722323,16.01251258,14.01423918,14.01423918
21,2020,11,2,1,24,11_2_1_24,2020_11_2_1_24,Vối thuốc,Voi thuoc,Schima wallichii,46.2,14.7,8,0,0,0,0,0,c,105.6702129,23.04997723,Chung goc,Same stump,10.42013001,67.7154933,57.58567964,57.58567964
22,2020,11,2,1,25,11_2_1_25,2020_11_2_1_25,Vối thuốc,Voi thuoc,Schima wallichii,35.7,11.4,9,0,0,0,0,0,b,105.6702133,23.04997723,Chung goc,Same stump,8.708525885,35.43315052,36.15561794,36.15561794
23,2020,11,2,1,26,11_2_1_26,2020_11_2_1_26,Vối thuốc,Voi thuoc,Schima wallichii,45.1,14.4,9,0,0,0,0,0,a,105.6702076,23.0499404,NA,NA,10.27622304,64.27579498,59.25682896,59.25682896
24,2020,11,2,1,29,11_2_1_29,2020_11_2_1_29,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,51.5,16.4,12.5,0,0,0,0,0,a,105.6702459,23.04997104,NA,NA,11.19880024,89.20437228,95.42334253,95.42334253
25,2020,11,2,1,30,11_2_1_30,2020_11_2_1_30,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,59,18.8,13.5,0,0,0,0,0,a,105.67025,23.04997798,NA,NA,12.20556468,125.5292633,133.5315774,133.5315774
26,2020,11,2,1,31,11_2_1_31,2020_11_2_1_31,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,75,23.9,13.5,0,0,0,0,0,a,105.6702567,23.04999827,NA,NA,14.06794219,227.51151,221.8353947,221.8353947
27,2020,11,2,1,32,11_2_1_32,2020_11_2_1_32,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,64.5,20.5,12.5,0,0,0,0,0,a,105.6702587,23.05000522,NA,NA,12.86365351,155.6810187,152.9677648,152.9677648
28,2020,11,2,1,33,11_2_1_33,2020_11_2_1_33,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,61.8,19.7,12.5,0,0,0,0,0,a,105.6702468,23.05002876,NA,NA,12.55913195,141.0251747,140.617713,140.617713
29,2020,11,2,1,36,11_2_1_36,2020_11_2_1_36,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,42.2,13.4,12.5,0,0,0,0,0,a,105.6702138,23.05004687,NA,NA,9.780915983,53.55379389,62.24494433,62.24494433
30,2020,11,2,1,37,11_2_1_37,2020_11_2_1_37,Vối thuốc,Voi thuoc,Schima wallichii,62.6,19.9,8.5,0,0,0,0,0,b,105.6701998,23.05006121,"Nghieng,Chung goc","Lean,Same stump",12.63609797,144.6108014,113.4040476,113.4040476
31,2020,11,2,1,38,11_2_1_38,2020_11_2_1_38,Vối thuốc,Voi thuoc,Schima wallichii,38.8,12.4,8.5,0,0,0,0,0,b,105.6702007,23.05006111,Chung goc,Same stump,9.259432356,43.95096138,41.70443573,41.70443573
32,2020,11,2,1,39,11_2_1_39,2020_11_2_1_39,Vối thuốc,Voi thuoc,Schima wallichii,39.8,12.7,8,0,0,0,0,0,a,105.6702067,23.05000445,NA,NA,9.418807794,46.71628969,42.26646303,42.26646303
33,2020,11,2,1,40,11_2_1_40,2020_11_2_1_40,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,23.4,7.4,5.5,0,0,0,0,0,b,105.6702432,23.05010185,NA,NA,6.118236761,11.44245304,10.71901632,10.71901632
34,2020,11,2,1,41,11_2_1_41,2020_11_2_1_41,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,98.1,31.2,17.5,0,0,0,0,0,a,105.6702893,23.05011069,NA,NA,16.27322331,437.099104,457.0167204,457.0167204
35,2020,11,2,1,42,11_2_1_42,2020_11_2_1_42,Vối thuốc,Voi thuoc,Schima wallichii,60.7,19.3,11.5,0,0,0,0,0,a,105.6702941,23.05007996,NA,NA,12.40347371,134.0094237,127.9374733,127.9374733
36,2020,11,2,1,43,11_2_1_43,2020_11_2_1_43,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,97,30.9,19,0,0,0,0,0,a,105.6702406,23.0500613,NA,NA,16.19078703,426.927082,470.928909,470.928909
37,2020,11,2,1,44,11_2_1_44,2020_11_2_1_44,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,69.3,22.1,18,0,0,0,0,0,a,105.670291,23.05003553,NA,NA,13.44743634,187.5326896,224.2413398,224.2413398
38,2020,11,2,1,46,11_2_1_46,2020_11_2_1_46,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,70.6,22.5,17,0,0,0,0,0,a,105.6702895,23.05002831,NA,NA,13.58848269,196.0333829,224.8905204,224.8905204
39,2020,11,2,1,48,11_2_1_48,2020_11_2_1_48,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,47.2,15,16,0,0,0,0,0,a,105.6702802,23.04998083,NA,NA,10.56199512,71.25966404,91.92445895,91.92445895
40,2020,11,2,1,49,11_2_1_49,2020_11_2_1_49,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,71.3,22.7,17,0,0,0,0,0,a,105.670267,23.04999877,NA,NA,13.65831014,200.3653832,229.1390155,229.1390155
41,2020,11,2,1,50,11_2_1_50,2020_11_2_1_50,Cáng lò,Cang lo,Betula alnoides Buch.- Ham,63.3,20.1,16.5,0,0,0,0,0,a,105.670268,23.04997646,NA,NA,12.71250095,148.2485225,173.9505294,173.9505294
